seller_id,seller_city,seller_state,total_orders,total_revenue,avg_review_score,avg_delivery_days,cancellation_rate,on_time_rate,cluster,grade,segment
6039e27294dc75811c0d8a39069f52c0,osasco,SP,64,16217.0,3.84,17.5,0.0,73.68,2,B,Stable
87b740daf17b5d1be335a64164ec6842,suzano,SP,13,16185.0,3.31,17.6,7.69,76.92,0,D,At Risk
6edacfd9f9074789dad6d62ba7950b9c,guarulhos,SP,208,16179.0,4.36,8.6,0.45,93.18,3,A,Premium
a5cba26a62b8b4d0145b68b841e62e7f,campo mourao,PR,54,16127.0,4.53,12.8,0.0,96.36,2,B,Stable
1f9ab4708f3056ede07124aad39a2554,tupa,SP,78,16052.0,4.09,14.1,0.0,92.41,2,B,Stable
00fc707aaaad2d31347cf883cd2dfe10,maringa,PR,103,15815.0,3.74,15.2,0.0,95.77,3,A,Premium
440dd6ab244315c632130ecfb63827b1,votuporanga,SP,94,15806.0,3.85,16.2,1.05,84.21,3,A,Premium
ac3508719a1d8f5b7614b798f70af136,canoas,RS,103,15803.0,4.57,8.9,0.0,94.23,3,A,Premium
05f51e13da97139648b8125c31e5f51b,belo horizonte,MG,60,15792.0,4.1,11.9,0.0,80.95,2,B,Stable
701938c450705b8ae65fc923b70f35c7,s jose do rio preto,SP,75,15787.0,3.77,12.0,0.0,93.75,2,B,Stable
289cdb325fb7e7f891c38608bf9e0962,belo horizonte,SP,110,15656.0,4.58,6.2,0.0,97.62,3,A,Premium
530ec6109d11eaaf87999465c6afee01,cascavel,PR,97,15646.0,4.22,10.3,0.0,96.15,3,A,Premium
b8bc237ba3788b23da09c0f1f3a3288c,itajai,SC,45,15613.0,4.35,11.5,0.0,97.87,2,B,Stable
a7f13822ceb966b076af67121f87b063,itaquaquecetuba,SP,75,15595.0,3.44,21.5,0.0,91.86,3,A,Premium
c31eff8334d6b3047ed34bebd4d62c36,salto,SP,122,15586.0,3.85,12.3,0.0,84.55,2,B,Stable
080199a181c46c657dc5aa235411be3b,osasco,SP,79,15496.0,4.61,7.6,0.0,97.59,3,A,Premium
0ea22c1cfbdc755f86b9b54b39c16043,sete lagoas,MG,237,15438.0,4.33,10.5,0.0,97.11,3,A,Premium
aba1721a889e04decc910aa13b768ef4,sao paulo,SP,83,15357.0,4.46,8.8,0.0,89.13,3,A,Premium
c6bda72e4dbf5c5866b13cb1810c6d03,sao paulo,SP,59,15331.0,4.38,9.7,0.0,96.67,3,A,Premium
431af27f296bc6519d890aa5a05fdb11,ribeirao preto,SP,117,15315.0,3.78,16.5,0.0,84.13,3,A,Premium
48436dade18ac8b2bce089ec2a041202,volta redonda,SP,138,15187.0,4.05,13.7,0.0,90.73,3,A,Premium
2e1c9f22be269ef4643f826c9e650a52,sao paulo,SP,167,15163.0,4.16,9.3,0.57,90.23,3,A,Premium
